id;nome;cep;endereco;
1155;JACOMAR BOQUEIRAO;81750450;RUA DES ANTONIO DE PAULA, 2765, CURITIBA, BRASIL;
4187;JACOMAR COSTEIRA;83010290;AL. ARPO, 1929, SAO JOSE DOS PINHAIS, BRASIL;
14595;JACOMAR CAMPO SANTAN;81490380;R. URIEL NOGUEIRA DOS SANTOS, 632, CURITIBA, BRASIL;
15081;JACOMAR EUCALIPTOS;83820071;RUA DAS ARAUCARIAS, 653, FAZENDA RIO GRANDE, BRASIL;
16313;JACOMAR FAZENDA RIO;83830170;AV SAO PAULO, 331, FAZENDA RIO GRANDE, BRASIL;
18175;JACOMAR GANCHINHO;81935000;RUA EDUARDO PINTO DA ROCHA, 3225, CURITIBA, BRASIL;
11981;BISTEK-SJ PRAIA COM;88103600;RUA DR CONSTANCIO KRUMMEL, 2183, SAO JOSE, BRASIL;
12526;BISTEK-FLP MORRO;88066000;RUA FRANCISCO THOMAZ DOS SANTOS, 1249, FLORIANOPOLIS, BRASIL;
18208;BISTEK ABRAAO;88085175;AVENIDA PATRICIO CALDEIRA DE ANDRADA, 0, FLORIANOPOLIS, BRASIL;
16084;VIA ATACADISTA BENTO;95700382;RUA 10 DE NOVEMBRO, 432, BENTO GONCALVES, BRASIL;
16764;VIA ATACADISTA CAXIA;95013130;RUA CRISTOFORO RANDON, 518, CAXIAS DO SUL, BRASIL;
18199;PASSARELA EFAPI;89801000;AV SENADOR ATILIO FRANCISCO XAVIER FONTA, CHAPECO, BRASIL;
15767;SUPER PAO LJ37;84025000;AVENIDA GENERAL CARLOS CAVALCANTI, 22, PONTA GROSSA, BRASIL;
16027;OBA UVARANAS LJ13;84025000;AV GENERAL CARLOS CAVALCANTI, 4149, PONTA GROSSA, BRASIL;
16036;SUPERPAO LJ14 HIPER;85010020;AV PREFEITO MOACIR JULIO SILVESTRE, 901, GUARAPUAVA, BRASIL;
16062;SUPERPAO FBELTRAO 12;85601000;AV JULIO ASSIS CAVALHEIRO, 140, FRANCISCO BELTRAO, BRASIL;
16118;SUPERPAO LJ 23*;84600472;RUA JOAQUIM TAVORA, 373, UNIAO DA VITORIA, BRASIL;
16582;GERMANIA SAO RAF 041;89295000;RUA FRANCISCO GERY KAMIENKI, 473, RIO NEGRINHO, BRASIL;
14733;ASSAI ATACADI CIC;81270200;AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 251, CURITIBA, BRASIL;
16635;ASSAI ALTO DA XV;82530195;AV MARECHAL HUMBERTO DE ALENCAR, 230, CURITIBA, BRASIL;
11231;CASA FIESTA JD AMERI;81530000;AVENIDA FRANCISCO H DOS SANTOS, 1450, CURITIBA, BRASIL;
17277;SUPER LUCAS-;89636000;AVENIDA 26 DE ABRIL, 0, ABDON BATISTA, BRASIL;
17278;SUPER LUCAS*;88598000;R DOM DANIEL HOSTIN, 804, CELSO RAMOS, BRASIL;
17279;SUPER LUCAS*;89613000;R CEL. HONORATO VIEIRA, 1640, ERVAL VELHO, BRASIL;
17281;SUPER LUCAS*;89620000;R CORONEL PEDRO CARLOS, 447, CAMPOS NOVOS, BRASIL;
319;SUP MOCAM LOJA II;89130000;RUA MARECHAL DEODORO DA FONSECA , 1090, INDAIAL, BRASIL;
321;SUP MOCAM LOJA III;89107000;RUA JOAO VIEIRA DE CAMPOS , 90, POMERODE, BRASIL;
12964;SUPER MYATA 9*;88210000;AV. HIRONIDO CONCEICAO DOS SANTOS, PORTO BELO, BRASIL;
15950;SUPERMERCADO RANCHO*;89254235;PREF. JOSE BAUER, 1402, JARAGUA DO SUL, BRASIL;
14246;ATACAREJO BRUDA;89466216;AV RUBENS RIBEIRO DA SILVA, 151, CANOINHAS, BRASIL;
14028;RIO VERDE TARUMA;82530230;AV VICTOR FERREIRA DO AMARAL, 816, CURITIBA, BRASIL;
16183;HARGER 4 BARRAS;83420000;RUA ARISTEU LUCIANO ADAMOSKI, 50, QUATRO BARRAS, BRASIL;
17669;SUPERMERCADO RIO VER;83450000;RUA ALFREDO STRAUB, 146, BOCAIUVA DO SUL, BRASIL;
2053;SUPER MAR CAIOBA;83260000;AV JUSCELINO KUBITSCHEK DE OLIVEI, 1468, MATINHOS, BRASIL;
243;MERCADO BAMBAM*;88056750;RUA J JAIME A RAMOS, SN, FLORIANOPOLIS, BRASIL;
475;MERCADO VO ROQUE;88140000;PROCOPIO LOHN, 1275, SANTO AMARO DA IMPERATRIZ, BRASIL;
484;MAGIA LAGOA;88062120;RUA MANOEL SEVERINO DE OLIVEIRA, 639, FLORIANOPOLIS, BRASIL;
2265;STALL SITIO CERCADO;81900000;RUA IZAAC FERREIRA DA CRUZ, 2941, CURITIBA, BRASIL;
3285;SUP MERETH;89228714;RUA JOSE A. DO LIVRAMENTO, 19, JOINVILLE, BRASIL;
3712;SUP SOL E MAR;89249000;RUA ANDRE RODRIGUES DE FREITAS, 685, ITAPOA, BRASIL;
4232;MERC CARVOEIRA*;88040600;RUA CAPITAO ROMUALDO DE BARROS, 905, FLORIANOPOLIS, BRASIL;
4391;MERC JOINVILLENSE;89211307;RUA SANTA CATARINA, 1345 SALA 02, JOINVILLE, BRASIL;
5945;MINI MERC ACORES*;88067200;ESTRADA JOAO BELARMINO DA SILVA, 2074, FLORIANOPOLIS, BRASIL;
6032;SUPER NEGRELLI;83870000;AV MIGUEL KOMARCHEWSKI, 1587, CAMPO DO TENENTE, BRASIL;
6213;SUSIN BAR MERCEARIA;84600000;RUA COSTA CARVALHO, 188, UNIAO DA VITORIA, BRASIL;
