id;nome; volume ; em_destaque ;imagem_url
91434;PIC. COBERTURA  TABLEK;65G; TRUE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/picole_cobertura_tablek_paviloche.png.webp
91444;PIC. COBERTURA  PETIT GATEAU;72G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/picole_cobertura_petit_gateau_paviloche.png.webp
91429;PIC. DOCE DE LEITE TIROL;65G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_doce_de_leite.png.webp
91449;PIC. GRAN CHOCOLATE;80G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/picole_cobertura_granchocolate_paviloche.png.webp
91401;PIC. CREME COCO     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_coco.png.webp
91428;PIC. CREME LEITINHO    ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_leitinho.png.webp
91413;PIC. CREME CHOCOLEITE     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_chocoleite.png.webp
91417;PIC. CREME MILHO VERDE    ;60G; TRUE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_milho_verde.png.webp
91402;PIC. FRUTA UVA       ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_uva.png.webp
91403;PIC. FRUTA LIMÃO    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_limao.png.webp
91411;PIC. FRUTA ABACAXI    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_abacaxi.png.webp
91419;PIC. FRUTA MORANGO    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_morango-1.png.webp
91448;PIC. KIDS UNIPOP       ;65G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_unipop.png.webp
91409;PIC. KIDS PAVILÉ     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_pavile-2.png.webp
91410;PIC. KIDS ALGODÃO DOCE     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_algodao_doce.png.webp
91423;PIC. KIDS RABISCO BRANCO      ;40G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_rabisco_chocolate_branco.png.webp
91425;PIC. KIDS RABISCO PRETO  ;40G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_rabisco_chocolate_preto.png.webp
